year,position,draft_pct_lg,draft_pct_team,team,cap_pct_team,cap_pct_lg
2013,K,0.0,0.0,Chargers,0.009000000000000001,0.00028125000000000003
2013,K,0.0,0.0,Ravens,0.004,0.000125
2013,K,0.0,0.0,Chiefs,0.011000000000000001,0.00034375000000000003
2013,K,0.0,0.0,Cardinals,0.016,0.0005
2013,K,0.0,0.0,Texans,0.004,0.000125
2013,K,0.0,0.0,Browns,0.006,0.0001875
2013,K,0.0,0.0,Jaguars,0.022000000000000002,0.0006875000000000001
2013,K,0.002322702285221026,0.05653856787392867,Dolphins,0.003,9.375e-05
2013,K,0.0,0.0,Rams,0.004,0.000125
2013,K,0.0,0.0,Lions,0.005,0.00015625
2013,K,0.0,0.0,Raiders,0.04,0.00125
2013,K,0.0,0.0,Saints,0.001,3.125e-05
2013,K,0.0,0.0,49ers,0.019,0.00059375
