year,position,draft_pct_lg,cap_pct_team,cap_pct_lg
2022,TE,0.053696300883959235,1.256,0.03925
2022,WR,0.14021733010528686,2.9745,0.092953125
2023,DB,0.1897311342069589,4.135,0.12921875
2023,DL,0.19800045187528242,5.680833333333333,0.17752604166666666
2023,K,0.008913239945774965,0.35050000000000003,0.010953125000000001
2023,LB,0.101762313601446,1.8093333333333335,0.05654166666666667
2023,OL,0.16997288748305467,5.183,0.16196875
2023,P,0.00491414369633981,0.2335,0.007296875
2023,QB,0.07954134658834161,2.508,0.078375
2023,RB,0.06593990058743787,1.3105,0.040953125
2023,TE,0.06239267962042476,1.294,0.0404375
2023,WR,0.118831902394939,3.168,0.099
2024,DB,0.19211479678478433,3.942,0.1231875
2024,DL,0.16307030453979396,5.530666666666667,0.17283333333333334
2024,K,0.005009623004641684,0.391,0.01221875
